"","resid_Place","resid_identity","pid7","PARTY","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_Socialist","FT_capitalist","FT_rural","FT_WHO","FT_CDC","ideo7","gender","race","educ","income","age","Voted_2020"
"25","City","City Person",2,"Democrat",60,15,0,15,50,0,50,50,60,50,50,30,65,70,30,50,50,50,50,70,30,70,50,50,50,40,50,NA,NA,NA,"Female","Hispanic","Less than High School",6,59,0
"26","Suburb","Suburb Person",1,"Democrat",80,15,85,0,85,0,75,45,80,80,85,45,45,60,60,60,65,65,60,65,60,75,75,90,50,50,60,80,60,2,"Male","White","Bachelor's Degree",5,73,1
"27","Suburb","Country Person",5,"Republican",20,100,0,100,15,85,85,0,50,40,70,60,85,85,30,70,0,100,85,85,30,85,100,70,0,0,85,70,100,NA,"Female","White","Less than High School",5,72,1
"28","Suburb","Country Person",5,"Republican",40,50,50,60,30,50,50,50,50,50,50,50,50,50,50,15,50,60,50,60,50,60,50,40,50,50,60,50,50,5,"Male","White","Bachelor's Degree",20,50,1
"29","Rural Area","Suburb Person",6,"Republican",60,0,70,NA,75,0,100,30,70,55,50,30,30,40,50,70,40,50,50,70,45,90,90,90,45,45,85,70,85,5,"Male","White","Graduate Degree",22,66,1
"30","Suburb","City Person",1,"Democrat",60,30,70,0,85,0,50,50,15,50,50,50,85,50,100,70,70,85,85,40,100,70,85,60,50,50,50,50,50,4,"Male","Hispanic","High School",15,41,1
"31","Suburb","Country Person",4,"Independent",0,0,0,85,15,NA,40,0,0,0,0,0,0,15,0,0,0,0,0,50,15,15,0,10,15,50,NA,NA,0,NA,"Female","Asian","High School",1,52,0
"32","Small Town","City Person",4,"Independent",0,0,0,0,0,0,0,50,50,50,40,40,50,0,50,0,50,50,50,15,50,50,50,15,50,50,50,50,50,4,"Male","Native American","Some College",13,45,0
"33","City","Small Town Person",1,"Democrat",70,15,85,0,100,0,70,0,70,85,70,15,15,15,85,40,40,40,70,70,85,85,60,85,60,60,40,85,60,2,"Female","White","Graduate Degree",4,46,1
"34","Small Town","Suburb Person",7,"Republican",0,70,0,100,NA,100,15,70,15,15,60,70,100,70,70,30,30,85,100,100,30,50,0,0,0,70,100,15,70,6,"Male","White","Bachelor's Degree",20,66,1
"35","City","City Person",2,"Democrat",60,15,85,0,100,0,100,30,85,85,50,35,50,60,85,40,50,50,50,70,85,100,70,60,50,60,50,70,90,2,"Female","White","Graduate Degree",20,60,1
"36","Suburb","Suburb Person",7,"Republican",0,85,0,85,30,85,50,60,50,50,60,70,50,70,70,50,50,100,85,70,50,85,50,50,0,50,100,70,60,NA,"Female","White","Bachelor's Degree",10,73,1
"37","City","City Person",1,"Democrat",60,40,60,15,100,40,50,75,85,60,85,85,60,85,40,70,70,NA,100,85,40,85,70,85,85,70,NA,100,100,NA,"Female","Black","Some College",9,71,1
"38","Suburb","City Person",3,"Democrat",40,10,40,0,60,0,70,10,100,40,70,10,20,60,100,10,60,30,50,10,70,100,100,80,100,20,60,70,80,1,"Female","White","Graduate Degree",3,28,1
"39","Small Town",NA,1,"Democrat",85,0,85,0,100,0,100,0,100,100,70,15,15,50,100,60,60,15,70,15,100,100,85,85,50,30,NA,100,100,1,"Female","White","Graduate Degree",8,73,1
"40","Suburb","Suburb Person",7,"Republican",0,60,0,100,15,100,60,85,15,50,40,60,70,70,50,15,50,50,85,70,50,70,0,0,0,85,50,15,50,6,"Male","White","Bachelor's Degree",NA,NA,1
"41","Suburb","Suburb Person",7,"Republican",30,85,15,70,15,70,50,60,40,40,50,50,70,50,85,40,70,60,50,85,50,50,40,15,30,50,85,40,30,6,"Female","White","Bachelor's Degree",19,37,1
"42","City",NA,1,"Democrat",78,NA,80,5,100,10,50,60,60,60,85,55,60,55,60,55,90,95,95,65,30,65,90,55,60,NA,NA,NA,75,4,"Female","Black","Some College",4,56,1
"43","City","Suburb Person",7,"Republican",0,15,0,100,0,100,4,60,15,2,1,85,85,75,50,0,50,30,50,100,50,100,0,0,0,100,100,5,75,7,"Male","White","Graduate Degree",10,48,1
"44","Small Town","City Person",7,"Republican",10,95,0,98,0,100,0,86,0,0,0,86,86,70,100,70,50,70,86,100,70,40,0,0,NA,NA,100,50,70,7,"Female","White","Bachelor's Degree",19,53,1
"45","Small Town","Country Person",5,"Republican",40,85,50,85,50,70,50,50,50,50,50,0,50,50,50,50,50,50,50,60,50,50,50,60,50,50,50,50,50,3,"Female","White","Some College",22,72,1
"46","Rural Area","Small Town Person",7,"Republican",0,100,0,100,0,85,50,50,0,0,50,50,90,20,50,50,50,90,50,99,0,90,0,50,0,99,100,50,50,6,"Male","White","High School",1,55,1
"47","Small Town","Small Town Person",1,"Democrat",85,0,85,0,100,0,100,50,60,85,85,40,15,70,70,60,70,100,85,85,70,85,60,85,70,50,40,85,100,2,"Male","White","Some College",10,79,1
"48","Rural Area","City Person",3,"Democrat",80,0,75,0,90,0,90,20,70,70,50,50,40,60,70,50,40,40,70,50,70,90,60,70,30,60,40,60,70,3,"Male","White","Bachelor's Degree",21,38,1
"49","City","City Person",7,"Republican",20,100,15,80,20,95,70,80,50,50,65,50,50,80,80,70,50,100,70,70,30,60,20,75,70,80,NA,80,70,4,"Female","Asian","Bachelor's Degree",12,42,1
"50","Suburb","Suburb Person",3,"Democrat",70,30,100,0,85,0,100,40,70,50,70,70,50,85,70,60,70,70,70,85,60,85,70,85,50,70,60,80,90,6,"Male","White","Graduate Degree",15,70,1
"51","City","Suburb Person",1,"Democrat",100,70,100,15,100,0,85,70,30,70,60,0,60,50,0,60,85,85,50,15,15,70,40,30,50,30,0,NA,70,4,"Female","Native American","Some College",NA,50,0
"52","City","Suburb Person",1,"Democrat",80,0,100,0,90,0,100,15,95,80,85,15,15,30,90,30,90,70,90,40,85,100,90,85,60,40,55,100,70,2,"Female","Black","Graduate Degree",NA,50,1
"53",NA,NA,4,"Independent",50,50,100,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Female","White","Less than High School",1,27,0
"54","City","Small Town Person",7,"Republican",0,70,0,100,0,100,0,100,0,0,70,70,0,60,0,30,0,100,0,100,0,0,15,0,NA,NA,70,NA,100,NA,"Male","White","High School",1,62,0
"55","Rural Area","Country Person",4,"Independent",0,70,0,85,0,100,0,50,20,0,70,85,90,100,50,30,50,100,100,100,50,50,0,0,0,50,100,0,10,4,"Female",NA,"Some College",NA,51,1
"56",NA,NA,7,"Republican",40,70,30,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Male","White","Some College",15,60,0
"57","Suburb","City Person",1,"Democrat",70,45,75,15,85,0,100,50,50,75,90,51,51,90,15,60,10,85,75,90,20,90,50,70,49,50,80,90,95,3,"Female","White","Graduate Degree",9,65,1
"58","City","City Person",3,"Democrat",70,15,85,0,85,0,95,30,85,70,60,50,20,60,90,50,60,70,90,60,85,90,70,90,60,70,60,75,70,3,"Male","White","Graduate Degree",21,NA,1
"59","Small Town","Country Person",6,"Republican",40,70,60,30,70,0,100,30,60,85,60,60,60,60,40,40,40,85,60,60,60,85,60,60,60,30,40,70,85,4,"Male","White","High School",9,48,1
"60","Small Town","Country Person",5,"Republican",15,85,15,85,0,100,40,50,50,30,15,30,85,60,50,60,70,85,70,85,50,50,0,30,0,85,85,30,40,6,"Male","White","High School",13,55,1
"61","Suburb","Suburb Person",4,"Independent",30,30,50,30,40,30,85,40,60,40,85,30,40,85,85,30,85,70,85,60,85,85,70,30,40,50,60,70,60,5,"Male","White","Bachelor's Degree",19,54,1
"62","Small Town","Small Town Person",2,"Democrat",60,30,40,15,75,35,50,50,50,50,50,35,50,50,50,50,50,50,50,50,50,75,75,35,50,50,50,50,50,4,"Female","White","Graduate Degree",13,38,0
"63","City","Suburb Person",1,"Democrat",70,0,100,0,100,0,100,15,85,85,85,40,0,30,70,15,70,60,85,40,60,100,85,85,85,50,70,100,85,2,"Male","White","Graduate Degree",10,80,1
"64","Suburb","Suburb Person",2,"Democrat",70,15,85,0,70,40,70,0,50,80,75,30,10,30,75,50,85,50,85,50,75,90,70,50,85,0,30,70,60,2,"Female","Other","Graduate Degree",15,37,1
"65","Suburb","Suburb Person",3,"Democrat",50,30,40,15,60,0,85,0,85,70,70,40,40,70,85,30,100,85,85,70,85,100,70,100,15,100,70,100,100,2,"Male","White","Bachelor's Degree",22,38,1
"66","City","City Person",5,"Republican",0,85,100,0,100,0,100,0,50,0,15,50,50,85,100,30,50,50,50,70,85,100,60,85,NA,NA,NA,85,100,4,"Male","White","Some College",11,60,1
"67","Small Town","Small Town Person",3,"Democrat",85,0,100,0,100,0,100,70,70,70,100,40,70,50,60,40,50,85,50,85,50,100,85,70,70,70,40,70,85,5,"Male","Other","Some College",14,46,1
"68","City","City Person",1,"Democrat",40,0,15,0,40,0,100,0,100,100,85,0,0,15,100,30,50,15,50,15,100,100,100,70,100,0,30,100,85,1,"Female","White","Graduate Degree",17,78,1
"69","City",NA,1,"Democrat",70,10,72,0,75,0,90,10,80,70,85,30,45,65,80,40,70,60,70,45,70,90,70,70,70,50,60,95,85,2,"Female","White","Graduate Degree",16,39,1
"70","Small Town","City Person",2,"Democrat",70,30,70,0,60,0,100,40,100,40,50,15,40,40,100,40,60,85,50,40,100,70,100,40,50,30,30,60,60,2,"Female","Black","Graduate Degree",11,33,1
"71","Small Town","Suburb Person",1,"Democrat",100,0,100,0,100,16,85,40,100,100,70,50,0,100,85,50,100,85,85,50,85,86,100,60,50,50,85,100,100,2,"Female","White","Graduate Degree",1,74,1
"72","Rural Area","Small Town Person",2,"Democrat",70,15,85,0,70,0,100,50,50,50,70,30,50,40,100,30,40,85,50,85,50,85,15,50,15,0,70,70,70,3,"Female","White","Some College",10,61,1
"73","Small Town","Small Town Person",1,"Democrat",85,0,100,0,100,0,100,70,85,70,100,70,85,100,70,40,70,100,85,100,70,100,50,100,85,40,100,100,100,NA,"Female","White","Some College",6,67,0
"74","City","Country Person",2,"Democrat",NA,NA,NA,NA,70,0,80,40,50,50,50,30,50,60,85,40,60,70,85,85,70,70,50,60,40,50,70,60,70,NA,"Female","White","High School",13,60,1
"75","Small Town","Small Town Person",7,"Republican",0,75,15,85,15,85,60,50,0,15,40,60,85,85,50,60,15,70,100,100,50,85,0,15,0,40,100,60,40,6,"Male","White","Some College",17,NA,1
"76","Suburb","Country Person",4,"Independent",25,15,40,15,50,50,85,0,50,50,50,50,50,50,0,50,50,60,50,50,0,85,50,0,50,50,60,60,50,NA,"Male","Black","Some College",6,21,0
"77","City","City Person",1,"Democrat",100,0,100,0,100,0,60,100,100,70,85,60,50,50,100,50,100,100,100,60,100,70,100,100,100,70,NA,100,100,4,"Female","Black","Less than High School",1,49,0
"78","Suburb","Suburb Person",1,"Democrat",100,30,85,0,7,0,9,5,5,6,7,3,5,9,5,3,5,5,8,8,5,9,7,7,4,1,5,6,7,2,"Male","White","Graduate Degree",16,80,1
"79","Suburb","Suburb Person",5,"Republican",0,60,0,70,50,85,70,40,40,40,60,70,70,85,70,40,60,70,100,70,60,70,15,30,15,60,60,30,40,4,"Male","White","Some College",6,70,1
"80","Rural Area","Suburb Person",1,"Democrat",100,0,100,0,100,0,100,60,70,70,100,60,85,85,50,70,60,85,60,100,50,100,85,85,40,60,85,85,100,5,"Female","White","High School",NA,70,1
"81","Small Town","Country Person",5,"Republican",15,60,30,30,50,30,100,NA,60,15,15,60,60,70,50,15,60,85,70,70,50,70,60,30,15,70,85,30,85,5,"Male","White","Bachelor's Degree",18,72,1
"82","City","City Person",7,"Republican",0,100,0,100,0,100,60,100,0,0,40,70,100,85,0,60,0,100,100,100,0,70,0,15,0,100,100,0,70,7,"Female","White","Some College",10,78,1
"83","Small Town","Small Town Person",1,"Democrat",70,0,70,0,100,0,100,90,60,90,50,70,70,40,60,70,70,100,80,60,50,90,80,80,20,60,80,80,70,2,"Female","White","Bachelor's Degree",10,43,1
"84","City","Suburb Person",4,"Independent",70,60,85,30,100,0,85,50,50,50,70,60,50,60,50,50,50,60,50,60,50,85,85,60,50,50,40,50,50,NA,"Female","Black","Some College",3,45,0
"85","City","City Person",2,"Democrat",70,15,70,0,85,0,100,0,85,70,70,40,15,70,100,85,85,15,70,40,100,85,85,70,85,40,30,85,70,3,"Female","White","Bachelor's Degree",21,44,1
"86","City","Suburb Person",1,"Democrat",85,15,100,0,100,0,60,90,60,0,70,0,15,60,100,70,60,85,90,100,85,85,60,50,50,0,50,NA,100,4,"Female","Hispanic","Some College",6,50,1
"87","Suburb","Suburb Person",4,"Independent",50,50,85,0,90,10,50,50,80,65,60,40,80,50,90,60,60,80,80,65,70,80,80,40,50,50,80,50,60,4,"Female","White","Graduate Degree",NA,NA,0
"88","Small Town","Suburb Person",3,"Democrat",70,0,85,0,60,0,85,15,50,50,60,15,15,40,100,30,50,50,50,15,50,100,70,30,50,70,60,70,85,3,"Female","White","Bachelor's Degree",15,33,1
"89","Suburb","Suburb Person",7,"Republican",0,100,0,100,60,100,85,50,50,30,50,50,100,100,50,50,50,60,50,100,30,85,0,60,NA,NA,NA,NA,85,NA,"Female","White","High School",14,55,0
"90","City","Suburb Person",6,"Republican",15,70,30,60,30,60,50,50,15,15,30,50,85,50,50,50,40,50,50,60,50,85,85,50,0,50,50,50,40,5,"Female","White","Bachelor's Degree",20,28,1
"91","City","City Person",7,"Republican",30,85,15,85,50,60,100,70,0,15,0,100,85,85,100,60,100,100,100,70,85,100,30,15,0,100,85,70,85,5,"Female","White","Graduate Degree",22,34,0
"92","Suburb","Suburb Person",7,"Republican",0,100,0,85,15,100,15,50,50,15,60,50,85,50,50,50,50,50,60,100,50,85,0,50,NA,NA,50,50,60,2,"Female","White","Bachelor's Degree",20,24,1
"93","Small Town","Country Person",7,"Republican",0,100,0,100,0,100,0,85,0,0,85,50,100,100,50,85,50,100,100,100,50,50,0,30,0,100,100,0,0,7,"Female","White","Some College",2,26,1
"94","City","City Person",1,"Democrat",70,30,70,0,70,0,85,30,60,70,85,40,30,50,50,60,50,60,85,70,50,85,60,70,50,60,NA,60,70,3,"Male","White","High School",7,75,1
"95","Small Town","Small Town Person",4,"Independent",0,60,30,60,0,70,50,30,50,15,30,60,70,70,50,0,0,50,50,70,30,85,0,0,0,85,100,0,30,5,"Male","Native American","Bachelor's Degree",13,61,1
"96","Suburb","Small Town Person",7,"Republican",15,70,40,100,30,100,50,100,40,30,15,60,100,85,0,15,30,100,85,100,0,70,40,50,0,60,100,50,70,6,"Female","White","Graduate Degree",22,80,1
"97","Small Town","Small Town Person",3,"Democrat",60,15,70,0,85,0,100,0,60,40,70,50,40,30,85,15,70,70,85,60,85,100,85,85,50,50,50,60,70,3,"Male","White","Some College",18,58,1
"98","Suburb","Suburb Person",2,"Democrat",50,0,100,0,100,0,100,0,100,70,15,15,0,40,85,15,70,40,85,60,85,100,100,70,30,0,30,60,60,4,"Female","Hispanic","Bachelor's Degree",12,50,1
"99","Small Town","City Person",1,"Democrat",85,0,100,0,100,0,100,15,90,95,85,50,30,50,90,50,85,NA,100,85,100,100,85,85,85,70,50,100,85,3,"Female","White","Bachelor's Degree",6,76,1
"100","Small Town","Small Town Person",4,"Independent",70,60,60,30,60,40,70,50,60,60,50,60,60,70,50,40,60,70,60,70,50,70,60,50,40,50,50,60,70,4,"Female","White","Some College",9,80,1
"101","Small Town","Small Town Person",1,"Democrat",100,0,100,0,100,0,100,100,0,0,100,60,70,70,0,50,60,100,30,0,0,100,0,100,80,NA,NA,NA,100,2,"Female","Other","High School",1,48,0
"102","Suburb","Small Town Person",4,"Independent",60,50,60,15,60,40,100,100,100,100,40,60,100,70,100,70,100,100,100,100,70,100,100,70,60,NA,100,100,100,3,"Female","White","High School",17,61,0
"103","Suburb","Suburb Person",1,"Democrat",85,50,70,0,85,0,95,15,95,95,75,20,20,85,95,85,50,40,85,30,90,85,95,75,75,20,50,90,90,2,"Female","White","Graduate Degree",17,45,1
"104","Small Town","Country Person",7,"Republican",15,85,NA,85,0,85,0,60,50,30,58,50,85,50,50,40,50,100,50,100,50,60,0,30,15,NA,NA,0,15,6,"Female","White","Some College",7,37,1
"105","Rural Area","Country Person",7,"Republican",0,60,0,85,0,100,0,100,0,0,10,80,51,100,0,25,50,100,100,100,0,51,0,0,0,100,100,0,60,6,"Male","White","Bachelor's Degree",17,36,1
"106","Small Town","Small Town Person",1,"Democrat",85,15,100,0,100,0,100,60,85,85,60,40,40,60,85,50,50,85,85,85,60,85,85,85,60,30,70,100,85,2,"Female","White","Less than High School",3,80,1
"107","Rural Area","Country Person",7,"Republican",0,85,0,100,0,85,30,100,40,40,30,100,100,85,15,40,0,100,100,100,0,70,0,70,30,100,NA,50,70,7,"Female","White","High School",4,66,1
"108","Small Town","Suburb Person",5,"Republican",30,85,NA,85,0,100,85,50,50,NA,70,50,40,60,50,70,50,85,70,85,50,70,40,40,NA,NA,85,NA,60,5,"Female","White","High School",10,80,1
"109","Small Town","Small Town Person",5,"Republican",30,50,40,65,40,50,40,45,40,40,50,40,55,50,50,40,50,60,50,70,50,50,15,30,30,45,60,40,40,6,"Male","Native American","Some College",19,66,1
"110","Rural Area","Country Person",6,"Republican",70,10,85,0,95,0,99,20,60,50,50,20,10,30,50,50,50,50,50,50,50,70,50,70,50,50,80,75,75,4,"Female","White","Some College",17,60,1
"111",NA,NA,7,"Republican",0,70,0,100,0,100,30,85,40,0,85,70,100,70,85,30,70,85,85,85,85,50,0,0,0,100,100,0,60,6,"Male","White",NA,19,34,0
"112","Small Town","Small Town Person",7,"Republican",0,70,15,100,0,85,70,50,50,30,50,30,85,70,50,60,50,50,50,70,50,85,15,40,40,70,85,30,70,6,"Male","Asian","Graduate Degree",22,80,1
"113","Small Town","City Person",2,"Democrat",30,60,40,70,60,30,40,50,60,30,100,60,85,85,100,30,100,100,100,100,100,60,0,30,0,85,100,40,30,4,"Male","White","High School",14,71,1
"114","Rural Area","Country Person",7,"Republican",0,70,15,100,0,85,0,60,50,0,30,15,70,60,50,15,0,100,60,85,50,40,0,0,0,30,70,0,40,6,"Male","White","Some College",6,72,1
"115","City","City Person",6,"Republican",30,70,15,70,15,50,50,50,15,70,30,15,50,50,30,50,30,70,30,50,0,85,0,15,0,30,NA,15,50,3,"Male","White","Bachelor's Degree",8,57,0
"116","Small Town","Small Town Person",7,"Republican",60,100,50,85,50,100,60,50,60,85,70,70,70,60,85,70,70,50,50,100,85,100,100,85,85,85,NA,NA,100,4,"Female","Hispanic","Graduate Degree",17,36,1
"117","City","Country Person",1,"Democrat",85,15,100,0,100,0,100,40,85,85,100,15,60,40,40,60,100,60,100,60,85,85,100,70,60,60,85,70,100,4,"Female","Black","Some College",16,61,1
"118","Suburb","City Person",7,"Republican",0,85,0,100,0,100,15,70,0,0,0,85,100,85,50,30,15,85,85,85,0,50,0,0,0,85,70,0,30,6,"Male","Native American","Graduate Degree",1,58,1
"119","City","City Person",3,"Democrat",50,50,60,0,85,0,85,50,50,70,100,60,60,60,85,60,70,60,50,40,85,100,100,50,NA,NA,NA,70,70,NA,"Male","Black","Some College",17,30,1
"120","Suburb","Suburb Person",6,"Republican",0,70,0,85,0,100,30,70,60,30,40,60,85,60,60,60,85,85,100,100,60,85,15,30,60,70,85,50,70,6,"Male","White","Graduate Degree",17,80,0
"121","Rural Area","Small Town Person",7,"Republican",15,70,15,100,15,100,40,85,60,40,40,60,100,70,70,40,70,85,85,85,50,70,0,30,0,70,85,50,70,6,"Male",NA,"Graduate Degree",NA,NA,1
"122","City","City Person",1,"Democrat",NA,50,NA,NA,86,16,70,50,50,60,60,50,40,60,50,30,50,50,50,40,50,50,60,60,50,50,50,50,50,NA,"Male","Hispanic","Some College",5,72,0
"123",NA,NA,1,"Democrat",95,100,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Male","Hispanic","Less than High School",1,38,0
"124","City","City Person",6,"Republican",40,60,15,80,30,60,60,50,50,50,40,50,50,50,50,50,40,50,50,70,50,60,30,40,50,50,50,40,60,NA,"Male","White","Some College",5,60,0
"125","Rural Area","Country Person",4,"Independent",60,60,50,70,60,85,0,50,40,15,40,100,60,50,NA,50,40,85,15,70,0,30,85,30,15,15,NA,85,100,5,"Female","Black","High School",4,52,0
"126","Rural Area","Country Person",4,"Independent",50,30,60,50,51,23,15,99,77,77,80,50,77,77,77,66,67,97,99,90,77,99,75,44,66,NA,NA,45,88,4,"Female","White","High School",8,40,0
"127","Suburb","Suburb Person",1,"Democrat",85,15,65,0,75,0,100,0,100,100,100,85,0,25,100,70,100,25,100,25,100,100,100,100,100,15,25,85,85,2,"Female","White","Bachelor's Degree",NA,23,1
"128","Small Town","Small Town Person",7,"Republican",0,85,0,100,0,100,0,85,50,30,50,50,85,50,50,15,50,100,50,100,50,50,0,30,0,85,100,15,30,6,"Male","White","High School",19,54,1
"129","Suburb","Suburb Person",1,"Democrat",85,0,100,0,100,0,100,15,70,85,85,30,15,40,70,60,60,70,70,60,60,100,70,70,60,50,50,70,85,3,"Female","White","Graduate Degree",16,70,1
"130","Rural Area","Small Town Person",4,"Independent",50,50,60,0,100,0,0,0,50,50,50,50,100,0,100,0,100,0,100,50,100,100,100,50,0,0,NA,100,100,NA,"Female","Hispanic","Some College",5,23,0
"131","Suburb","Suburb Person",3,"Democrat",70,15,85,0,70,0,85,40,70,60,70,25,50,50,70,30,70,70,70,50,70,85,70,65,50,40,60,70,70,2,"Male","Black","Graduate Degree",21,66,1
"132","City","Suburb Person",7,"Republican",10,75,20,95,20,90,100,60,50,30,85,NA,85,100,50,20,NA,100,100,95,50,90,0,30,10,85,100,40,85,6,"Male","White","Some College",19,60,1
"133","Suburb","Suburb Person",5,"Republican",0,85,40,100,15,100,30,70,0,15,30,70,70,40,60,15,60,85,85,100,50,15,0,0,0,85,100,0,15,6,"Female","White","Bachelor's Degree",17,50,1
